0,1
250,13
241,199
95,264
292,90
140,155
259,90
103,212
166,156
229,55
255,91
222,299
298,32
150,314
10,91
325,244
118,308
82,88
22,329
249,150
100,74
111,92
115,134
142,227
67,285
110,95
30,85
75,313
261,276
41,253
296,270
49,311
248,309
358,92
193,352
130,254
352,142
254,319
314,218
290,296
196,313
215,244
224,69
69,329
350,144
290,14
97,173
163,303
228,267
4,122
241,308
321,221
7,256
325,170
27,45
315,345
63,331
23,88
103,41
299,127
112,72
318,81
68,143
350,276
41,295
269,62
219,145
342,243
342,207
332,230
171,49
324,235
280,351
87,216
343,296
191,322
280,211
181,213
105,307
256,307
265,208
257,28
306,62
201,349
89,141
75,229
176,314
36,246
171,130
109,177
232,145
10,185
55,267
109,218
43,86
138,307
182,152
190,342
310,251
354,161
179,7
33,333
19,79
90,338
359,180
221,283
326,103
309,156
85,75
94,58
17,217
309,77
183,97
211,166
319,356
189,184
79,211
293,219
343,49
106,296
100,133
290,253
91,292
136,222
157,137
296,352
246,22
161,95
20,340
245,144
224,31
117,88
109,15
118,130
209,202
65,92
112,187
104,111
344,282
195,197
238,285
161,302
318,336
170,306
188,153
232,139
86,180
12,112
140,163
204,200
181,100
354,71
167,229
155,351
73,248
179,11
304,248
200,204
151,0
112,97
190,247
323,329
274,261
291,90
351,85
56,260
194,203
268,302
306,170
117,183
356,234
268,329
290,171
214,338
59,232
79,106
351,305
167,294
329,9
171,10
110,268
296,209
176,234
32,332
148,64
80,188
197,288
295,139
12,138
276,263
215,63
103,315
97,104
320,30
204,157
27,102
145,218
178,280
141,298
22,112
85,164
210,119
281,225
135,274
230,208
338,5
292,237
201,244
192,95
299,232
27,120
194,287
71,181
82,11
164,271
82,81
332,251
32,127
284,186
1,117
114,16
82,35
32,158
242,140
268,54
308,200
136,62
64,107
342,15
145,246
44,333
323,20
60,194
28,347
14,278
23,47
218,265
134,217
276,331
107,165
39,41
31,202
250,299
5,122
262,325
193,337
337,332
119,8
360,42
275,91
203,300
242,353
126,245
129,317
296,101
283,215
341,213
172,74
320,128
208,283
106,291
0,170
350,139
102,76
302,223
137,233
326,358
200,148
287,144
336,167
64,347
99,40
220,127
189,21
55,63
9,236
166,267
293,76
16,241
262,23
162,150
301,80
110,359
93,253
11,343
217,351
266,240
302,79
86,26
245,119
90,15
296,68
357,231
198,13
22,232
302,146
139,108
304,356
315,291
40,280
122,280
340,103
232,317
277,159
85,206
115,84
6,165
178,299
223,207
250,297
26,16
92,217
310,23
206,91
289,58
236,187
9,209
128,169
191,227
100,142
188,125
243,315
209,16
87,233
329,240
141,73
345,16
251,49
132,1
302,71
291,25
176,201
17,58
148,73
17,51
101,199
211,345
336,220
203,269
126,341
138,106
198,304
157,340
242,351
298,257
346,178
5,321
42,294
217,59
179,186
17,202
178,238
59,166
258,114
38,349
84,324
302,253
150,265
191,302
184,181
156,283
34,260
177,244
259,131
1,207
342,6
45,347
301,59
183,24
238,207
112,163
176,252
227,24
283,218
104,283
29,130
236,355
120,163
308,186
196,2
216,90
188,43
30,136
259,100
189,129
311,293
248,61
94,198
115,188
197,142
141,226
79,243
141,245
267,336
227,148
261,67
43,45
311,267
254,233
76,112
173,341
143,10
61,58
353,128
359,189
246,306
26,163
112,127
299,259
246,263
146,69
47,170
6,269
201,121
68,282
350,17
264,208
44,102
305,16
9,291
40,183
99,67
292,39
343,278
37,224
263,262
291,353
65,257
95,10
141,9
68,338
62,18
266,80
124,189
355,200
24,91
225,84
345,57
273,44
191,98
274,164
